order_id,customer_id,order_date,region,product_id,product_category,quantity,price,total_amount
ORD100000,CUST2437,2024-03-21,North,PROD206,Sports,4,861,3444
ORD100001,CUST5192,2023-04-05,North,PROD335,Electronics,5,289,1445
ORD100002,CUST6441,2023-03-01,East,PROD266,Clothing,3,810,2430
ORD100003,CUST4081,2022-03-05,South,PROD932,Sports,5,1607,8035
ORD100004,CUST5343,2022-04-12,South,PROD295,Home Essentials,5,1856,9280
ORD100005,CUST8370,2023-06-16,East,PROD444,Sports,2,1659,3318
ORD100006,CUST1752,2024-03-12,West,PROD657,Home Essentials,3,855,2565
ORD100007,CUST6296,2022-03-11,South,PROD908,Clothing,3,1546,4638
ORD100008,CUST7628,2023-09-02,East,PROD568,Clothing,3,935,2805
ORD100009,CUST6269,2023-11-03,North,PROD530,Home Essentials,5,1763,8815
ORD100010,CUST3732,2023-11-06,East,PROD614,Electronics,4,1728,6912
ORD100011,CUST4207,2024-04-21,East,PROD579,Electronics,3,1935,5805
ORD100012,CUST3611,2024-07-18,West,PROD656,Electronics,5,232,1160
ORD100013,CUST7252,2024-02-29,East,PROD690,Home Essentials,2,154,308
ORD100014,CUST2482,2022-06-23,East,PROD298,Electronics,4,609,2436
ORD100015,CUST9919,2024-12-16,North,PROD230,Clothing,2,769,1538
ORD100016,CUST2570,2022-04-30,West,PROD538,Home Essentials,4,1664,6656
ORD100017,CUST1487,2022-06-12,North,PROD602,Electronics,5,509,2545
ORD100018,CUST8803,2023-05-22,East,PROD401,Sports,1,1334,1334
ORD100019,CUST9409,2022-12-10,North,PROD593,Books,4,1789,7156
ORD100020,CUST9804,2023-01-04,North,PROD723,Electronics,2,1416,2832
ORD100021,CUST7551,2022-02-01,East,PROD248,Clothing,5,1086,5430
ORD100022,CUST9956,2022-04-15,South,PROD671,Home Essentials,4,833,3332
ORD100023,CUST7480,2022-03-27,East,PROD410,Electronics,1,1238,1238
ORD100024,CUST9704,2023-10-24,East,PROD723,Sports,1,1793,1793
ORD100025,CUST1684,2023-12-23,West,PROD763,Sports,3,358,1074
ORD100026,CUST7258,2022-04-23,East,PROD890,Clothing,3,1886,5658
ORD100027,CUST9304,2022-07-02,West,PROD288,Books,2,1245,2490
ORD100028,CUST4043,2024-03-17,West,PROD149,Books,4,398,1592
ORD100029,CUST3553,2023-04-28,East,PROD213,Clothing,4,1898,7592
ORD100030,CUST7469,2023-01-30,West,PROD633,Sports,3,1504,4512
ORD100031,CUST9817,2022-08-13,South,PROD727,Books,4,660,2640
ORD100032,CUST9643,2022-05-05,North,PROD981,Sports,4,1964,7856
ORD100033,CUST8197,2023-06-21,North,PROD377,Electronics,1,1624,1624
ORD100034,CUST1103,2022-03-30,South,PROD884,Electronics,3,396,1188
ORD100035,CUST1703,2022-02-01,North,PROD945,Electronics,5,461,2305
ORD100036,CUST8840,2024-01-27,East,PROD296,Books,3,688,2064
ORD100037,CUST6579,2022-06-12,South,PROD180,Electronics,5,1586,7930
ORD100038,CUST9088,2024-06-08,West,PROD702,Electronics,1,1561,1561
ORD100039,CUST6149,2024-12-06,East,PROD488,Books,2,226,452
ORD100040,CUST4270,2024-06-25,North,PROD919,Sports,4,296,1184
ORD100041,CUST8733,2024-08-27,North,PROD404,Home Essentials,1,320,320
ORD100042,CUST8172,2023-01-17,South,PROD176,Clothing,4,1094,4376
ORD100043,CUST9701,2022-10-03,South,PROD494,Home Essentials,2,190,380
ORD100044,CUST4578,2022-09-20,North,PROD649,Clothing,2,510,1020
ORD100045,CUST8376,2022-11-12,South,PROD661,Books,1,107,107
ORD100046,CUST8924,2022-05-12,East,PROD292,Sports,2,643,1286
ORD100047,CUST6659,2023-01-19,South,PROD685,Electronics,5,567,2835
ORD100048,CUST6817,2023-11-13,South,PROD291,Clothing,2,419,838
ORD100049,CUST6550,2023-07-30,West,PROD823,Home Essentials,4,1517,6068
ORD100050,CUST3078,2023-10-30,East,PROD874,Clothing,4,368,1472
ORD100051,CUST7475,2024-04-26,South,PROD571,Sports,4,1314,5256
ORD100052,CUST5739,2023-10-01,North,PROD970,Clothing,4,1984,7936
ORD100053,CUST8934,2024-02-23,North,PROD373,Books,5,1798,8990
ORD100054,CUST9177,2023-07-08,North,PROD287,Home Essentials,3,160,480
ORD100055,CUST9412,2023-01-08,North,PROD341,Electronics,1,1561,1561
ORD100056,CUST5983,2023-02-02,South,PROD463,Home Essentials,4,1387,5548
ORD100057,CUST9056,2022-01-16,East,PROD219,Books,2,896,1792
ORD100058,CUST5966,2023-07-22,West,PROD254,Home Essentials,4,1218,4872
ORD100059,CUST7936,2023-09-03,East,PROD825,Books,2,652,1304
ORD100060,CUST2741,2024-12-04,North,PROD428,Electronics,2,1025,2050
ORD100061,CUST6535,2023-01-14,East,PROD594,Clothing,4,1593,6372
ORD100062,CUST3880,2024-01-08,West,PROD442,Electronics,5,760,3800
ORD100063,CUST6487,2024-07-13,North,PROD879,Books,2,815,1630
ORD100064,CUST2118,2022-01-23,South,PROD550,Sports,2,878,1756
ORD100065,CUST3296,2024-10-29,East,PROD641,Home Essentials,4,1637,6548
ORD100066,CUST7879,2023-07-13,South,PROD622,Sports,2,1813,3626
ORD100067,CUST9266,2023-09-30,West,PROD640,Sports,2,293,586
ORD100068,CUST5776,2023-09-17,West,PROD603,Sports,4,581,2324
ORD100069,CUST2017,2023-03-03,South,PROD339,Books,4,1459,5836
ORD100070,CUST3669,2023-12-11,East,PROD164,Books,1,1558,1558
ORD100071,CUST2698,2024-03-25,South,PROD154,Home Essentials,5,1319,6595
ORD100072,CUST2644,2022-10-03,East,PROD128,Sports,5,954,4770
ORD100073,CUST5338,2022-09-09,West,PROD799,Books,2,1372,2744
ORD100074,CUST5425,2022-10-31,East,PROD207,Electronics,5,597,2985
ORD100075,CUST7527,2024-03-20,West,PROD591,Clothing,2,311,622
ORD100076,CUST6781,2023-10-13,North,PROD690,Books,1,764,764
ORD100077,CUST7180,2024-06-27,South,PROD774,Books,4,769,3076
ORD100078,CUST8974,2022-03-02,South,PROD958,Clothing,4,1589,6356
ORD100079,CUST6987,2022-07-28,South,PROD371,Books,4,1997,7988
ORD100080,CUST8347,2024-10-06,South,PROD340,Electronics,5,1774,8870
ORD100081,CUST3764,2022-09-22,East,PROD340,Books,1,320,320
ORD100082,CUST3065,2024-08-26,South,PROD948,Sports,5,372,1860
ORD100083,CUST4605,2024-01-20,West,PROD919,Home Essentials,5,1277,6385
ORD100084,CUST4590,2024-08-12,North,PROD351,Books,1,1372,1372
ORD100085,CUST2341,2024-09-21,West,PROD436,Books,1,378,378
ORD100086,CUST7258,2022-09-06,West,PROD962,Home Essentials,1,1563,1563
ORD100087,CUST1314,2023-08-18,West,PROD162,Home Essentials,1,915,915
ORD100088,CUST2191,2024-01-31,West,PROD294,Electronics,4,375,1500
ORD100089,CUST3488,2024-10-18,South,PROD518,Home Essentials,3,1104,3312
ORD100090,CUST8247,2022-11-07,South,PROD531,Books,3,613,1839
ORD100091,CUST5750,2024-10-27,West,PROD859,Sports,1,1211,1211
ORD100092,CUST4474,2022-07-21,West,PROD449,Home Essentials,3,1922,5766
ORD100093,CUST6326,2023-04-25,South,PROD437,Sports,3,1022,3066
ORD100094,CUST5707,2022-08-10,South,PROD583,Clothing,1,741,741
ORD100095,CUST2473,2022-01-13,North,PROD768,Sports,3,604,1812
ORD100096,CUST6286,2023-02-20,North,PROD603,Clothing,5,689,3445
ORD100097,CUST1993,2024-04-24,East,PROD188,Books,2,871,1742
ORD100098,CUST7708,2022-04-15,East,PROD222,Home Essentials,2,1364,2728
ORD100099,CUST5005,2024-04-01,East,PROD113,Clothing,1,1776,1776
ORD100100,CUST2205,2022-12-06,East,PROD729,Clothing,4,839,3356
ORD100101,CUST8083,2022-10-27,North,PROD285,Electronics,1,774,774
ORD100102,CUST9737,2022-11-25,North,PROD252,Clothing,4,1359,5436
ORD100103,CUST4651,2022-02-28,West,PROD297,Sports,2,1113,2226
ORD100104,CUST3746,2022-01-06,East,PROD810,Home Essentials,1,227,227
ORD100105,CUST4150,2024-08-01,East,PROD584,Books,5,602,3010
ORD100106,CUST5236,2024-06-10,East,PROD930,Clothing,3,1323,3969
ORD100107,CUST3580,2022-10-09,East,PROD494,Electronics,4,1001,4004
ORD100108,CUST7911,2024-05-29,North,PROD433,Sports,3,642,1926
ORD100109,CUST5256,2022-01-18,East,PROD732,Sports,3,1625,4875
ORD100110,CUST4326,2023-04-22,North,PROD318,Home Essentials,1,1773,1773
ORD100111,CUST4637,2024-02-20,East,PROD959,Clothing,3,591,1773
